Nazwa|Cena|Stan nieruchomości|Pow. całkowita|Pow. użytkowa|Piętro|Liczba pięter|Liczba poziomów mieszkania|Typ kuchni|Liczba łazienek|Pow. łazienki|łazienka razem z WC|Balkon|Taras|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Rok budowy|Stan budynku|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Inwestycja|Pow. ogródka|Liczba sypialni|Pow. tarasu|Pow. loggii|Wysokość wnętrza|Stolarka okienna|Pow. balkonu|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Pow. działki|Lokalizacja garażu
Funkcjonalne ładne 3 pokoje, 2 miejsca w hali|810 750 zł||70,50 m²||1/3|3||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Silikat|2016||Co Własne|30.10.2023|29.03.2024|morizon-PAN969061|356|0||||||||||||||
3 niezależne pokoje, centrum Gdańska na inwestycję|835 000 zł||58,60 m²|||4||||||||Wtórny||||Kamienica||1960||Co Miejskie|12.07.2023|29.01.2024|morizon-236946|286|0|||3|||||||||||
GOTOWIEC- DWA MIESZKANIA- 350m do NEPTUNA|859 000 zł||51,30 m²||6/6|6|1|||||Tak|Nie|Wtórny||||Blok Mieszkalny|Cegła|1962||Co Miejskie|10.08.2022|28.03.2024|morizon-PAN892266|1 230|0|||2|||||||||||
3 pokoje z balkonem, 2 łazienki -odbiór II kw.2024|870 539 zł||72,10 m²||1/4|4||||||Tak||Pierwotny|2024-06-30|||Apartamentowiec||2024||Co Miejskie|05.03.2024|05.03.2024|morizon-DH421766|65|0||||||||||||||
Gdańsk Oliwa 3 pokoje + Garaż, 2 ogródki|895 000 zł||66,14 m²||1/2|2|1|||||||Wtórny|||Na wyłączność|Kamienica||1957||Co Miejskie|11.12.2023|13.03.2024|morizon-DH357865|652|0||||||||||||||
4 pokoje na Starym Mieście z przepięknym widokiem|895 000 zł||70,77 m²||3/4|4||||||Tak|Nie|Wtórny||||Kamienica|Cegła|1963||Co Miejskie|09.11.2023|29.03.2024|morizon-PAN279773|415|0||||||||||||||
2 pokoje w apartamentowcu blisko molo w Brzeźnie|959 000 zł||48,15 m²||6/12|12||||||||Wtórny|||Na wyłączność|Apartamentowiec|Konstrukcja żelbetowa|2016||Co Miejskie|23.02.2024|09.03.2024|morizon-AG678582|206|0||||||||||||||
Apartament z niepowtarzalnym widokiem Sol Marina|974 797 zł||40 m²|39,86 m²|1/2|2|1|||||Tak|Tak|Wtórny|2024-02-07||Na wyłączność|Apartamentowiec|Inne|2023||Co Miejskie|07.02.2024|18.03.2024|morizon-WH912159|82|0|||1|||||||||||
Trzy pokoje z balkonem, 2 km od centrum Gdańska|1 056 431 zł||64,03 m²|62,41 m²|2/5|5|1|||||Tak||Pierwotny|2025-03-31||||Cegła|2025|||20.03.2024|19.03.2024|morizon-WH867443|30|0||||||||||||||
"Apartament | 1piętro | Premium"|1 090 507 zł||47,54 m²||1/3|3||||||Tak||Pierwotny|2024-06-01|||Apartamentowiec|Porotherm|2024|||18.01.2024|28.02.2024|morizon-HEX490137|59|0|||1|||||||||||
Apartament w Śródmieściu z widokiem na Motławę|1 129 000 zł||60,38 m²||1/4|4||||||||Wtórny|||Na wyłączność|Blok Mieszkalny||2011||Co Miejskie|09.12.2023|14.03.2024|morizon-DH398001|172|0||||||||||||||
2 pokoje w najpiękniejszej dzielnicy Gdańska1|1 141 850 zł||47,54 m²||1/3|3||||||Tak||Pierwotny||||Blok Mieszkalny||2024||Co Miejskie|15.02.2024|09.04.2024|morizon-380520|64|0|||1|||||||||||
Urokliwa dzielnica Gdańska - Oliwa, dwa balkony|1 149 000 zł||87 m²||1/3|3||||||Nie||Wtórny||||Kamienica|Inne|1910||Elektryczne|29.09.2023|16.03.2024|morizon-391759|471|0||||||||||||||
Dwupoziomowe mieszkanie w pięknej okolicy|995 000 zł|Bardzo dobry|137 m²|113 m²|1/2|2|2|Aneks|2|8 m²|Tak|Tak|Tak|Wtórny|2024-04-10|Własność|Na wyłączność|Apartamentowiec|Bloczki|2013|Bardzo dobry|Miejskie|09.04.2024|09.04.2024|morizon-233|16|0||||||||||||||
Mieszkanie z ogrodem oraz garażem do remontu|1 199 000 zł||78 m²|||1||||||||Wtórny||||Dom Wielorodzinny||||Gazowe|28.07.2023|05.04.2024|morizon-925136899|368|0||||||||||||||
Apartament w centrum Gdańska z widokiem na rzekę|1 242 108 zł||65,72 m²||3/5|5||||||Tak||Pierwotny|2024-03-01|||||2024|||10.03.2024|12.03.2024|morizon-EC365892612|70|0||||||||||||||
109 m Gdańsk Śródmieście, 3 pokoje+kuchnia z jadalnią, stan do wprowadzenia|1 248 000 zł|Bardzo dobry|109,40 m²||3/3|3|1|Osobna|1||Tak|Nie|Nie|Wtórny||Własność|Na wyłączność|Kamienica|Cegła|1903|Dobry|Miejskie|27.06.2023|02.04.2024|morizon-AK0901|773|0||||||330 cm||||||||
Apartament nad Motławą - wydanie od ręki|1 350 000 zł||87,05 m²||4/5|5||||||Tak||Wtórny|||Na wyłączność|Apartamentowiec|Konstrukcja mieszana|2021||Co Miejskie|06.02.2024|06.02.2024|morizon-TC128363|255|0|||2|||||||||||
Rodzinne mieszkanie z 2 łazienkami, Gdańsk Siedlce|1 434 886 zł||84,41 m²|81,63 m²|3/5|5|1|||||Tak||Pierwotny|2025-03-31||||Cegła|2025|||20.03.2024|19.03.2024|morizon-WH933760|38|0||||||||||||||
Inwestycja Premium, Narożne z Ogródkiem|1 436 237 zł||59,98 m²|||3|||||||Tak|Pierwotny||||Apartamentowiec||2024||Co Miejskie|28.11.2023|28.03.2024|morizon-901439|114|0|||2|||||||||||
Czteropokojowe mieszkanie na Gdańskim Browarze|1 495 000 zł||75,59 m²||1/4|4||||||Tak|Nie|Wtórny|2024-02-29|||Apartamentowiec|Pustak|2016||Co Miejskie|09.02.2024|14.02.2024|morizon-PAN866102|294|0||||||||||||||
eleganckie 2 pokoje z balkonem, Gdańsk Śródmieście|1 499 999 zł||55 m²||3/4|4|1|||||Tak||Wtórny|||Na wyłączność|Apartamentowiec|Cegła|2020||Co Miejskie|18.12.2023|25.03.2024|morizon-WH204337|485|0||||||||||||||
Apartament - najwyższe piętro - blisko morza|1 700 000 zł||100,30 m²||5/5|5||||||Tak||Wtórny||||Apartamentowiec||2023|||08.02.2024|08.02.2024|morizon-DH534293|112|0||||||||||||||
GARNIZON|2 150 000 zł|Do wykończenia|101,50 m²||6/6|6|1|Połączona z salonem|2||||Nie|Wtórny||Własność|Na wyłączność|Apartamentowiec||2020|||13.11.2023|09.04.2024|morizon-10690231|457|0|||||||Nowe drewniane|||||||Pod budynkiem
Apartament z widokiem na marinę i wschód słońca|2 170 090 zł|BARDZO WYSOKI STANDARD|79,71 m²|||3||ANEKS KUCHENNY|2|||Tak||Wtórny||WŁASNOŚĆ||APARTAMENTOWIEC||2022|||26.02.2024|26.02.2024|morizon-28940/3685/OMS|85|0||||||||||||||
Unikatowy lokal sprzedawany wraz z firmą|3 000 000 zł||90 m²|60 m²||4|2|||||Tak|Tak|Wtórny|2024-09-30||Na wyłączność|Kamienica|Cegła|1955||Co Miejskie|31.07.2023|28.03.2024|morizon-WH224235|717|0|||2|||||||||||
Komfortowy nadmorski apartament z dwoma tarasami|3 500 000 zł||107 m²|103 m²|3/3|3|||||||Tak|Wtórny|2023-12-01|||Blok Mieszkalny||2017|||20.02.2024|23.02.2024|morizon-EC492212|270|0|||2|||||||||||
Jasna kawalerka w klimatycznej portowej dzielnicy|299 000 zł||24,90 m²|||2||||||||Wtórny||||Kamienica|Cegła|1900||Gazowe|21.02.2024|21.02.2024|morizon-923218|216|0|||1|||||||||||
Kawalerka z możliwością na 2 pokoje|399 000 zł||30,90 m²||6/10|10||||||||Wtórny||||Wieżowiec|Wielka płyta|||Co Miejskie|29.02.2024|29.02.2024|morizon-AG199176|145|0||||||||||||||
Najtańsze w Gdańsku Promocja tylko w tym Tygodniu|405 000 zł||36,87 m²||3/4|4||||||Tak||Pierwotny|2024-09-30|||Blok Mieszkalny||2024||Co Miejskie|13.02.2024|27.03.2024|morizon-HEX964553|74|0|||1|||||||||||
Najtańsze w Gdańsku Promocja tylko w tym Tygodniu|405 000 zł||36,95 m²||2/4|4||||||Tak||Pierwotny|2024-09-30|||Blok Mieszkalny||2024||Co Miejskie|13.02.2024|27.03.2024|morizon-HEX778978|91|0|||1|||||||||||
Piękna inwestycja w Centrum, Osiedle Portovo|469 480 zł||26,01 m²||3/4|4||||||||Pierwotny|2024-12-30|||Blok Mieszkalny||2024||Co Miejskie|04.05.2023|05.04.2024|morizon-716512|215|0||||||||||||||
Zaproponuj swoją cenę - parter domu|499 000 zł||60,90 m²|||1||||||||Wtórny|||Na wyłączność|Dom Wielorodzinny|Cegła|||Gazowe|13.10.2023|29.03.2024|morizon-853714|655|0|||1|||||||||||
WYJĄTKOWE MIESZKANIE DOSTĘPNE OD RĘKI|515 000 zł||45 m²|||3||||||Nie|Nie|Wtórny||||Blok Mieszkalny|Konstrukcja żelbetowa|2023||Co Miejskie|15.02.2024|15.02.2024|morizon-PAN303609|367|0||||||||||||||
GOTOWE mieszkanie 3 pokojowe! ODBIERZ KLUCZE|517 134 zł||54,74 m²||1/4|4||||||Tak||Pierwotny||||Blok Mieszkalny|Cegła|||Co Miejskie|11.03.2024|11.03.2024|morizon-HEX750710|68|0||||||||||||||
"2 pokoje | Świeżo wykończone | Atrakcyjna cena"|529 000 zł||37 m²|||3|||||||Tak|Wtórny||||Blok Mieszkalny||2023||Co Miejskie|09.01.2024|10.04.2024|morizon-AG613524|215|0|||1|||||||||||
Mieszkanie w centrum Wrzeszcza|540 000 zł||41,60 m²||1/2|2||Osobna|1|||Nie|Nie|Wtórny||Własność|||||Do remontu|Elektryczne|03.04.2024|02.04.2024|morizon-BH06898|105|0||||||||||||||
2 niezależne kawalerki - idealna inwestycja|540 000 zł||41,81 m²||1/3|3||||||Tak||Wtórny||||Blok Mieszkalny||2022||Co Miejskie|05.01.2024|05.04.2024|morizon-PH539355|199|0||||||||||||||
Mieszkanie 3 pokojowe w niskiej cenie|547 000 zł||51,93 m²||1/4|4||||||Tak||Pierwotny|2025-06-30|||||2024|||11.01.2024|10.04.2024|morizon-OF172660|73|0|||2|||||||||||
Nowoczesne mieszkanie z wysokim standardem Jasień|550 000 zł||40 m²||2/4|4||||||||Wtórny|2024-04-30|||Blok Mieszkalny||2018||Co Miejskie|04.04.2024|05.04.2024|morizon-635694|21|0|||1|||||||||||
Opis nieruchomości|578 000 zł||31,25 m²||1/4|4||||||||Wtórny||||Kamienica||1950||Co Miejskie|22.02.2024|09.04.2024|morizon-PH386011|110|0||||||||||||||
Dwa pokoje w świetnej lokalizacji|590 000 zł|DOBRY|52,80 m²||1/2|2||ODDZIELNA|1|||||Wtórny||WŁASNOŚĆ||KAMIENICA|CEGŁA|1936||C.O. GAZOWE|09.07.2021|14.03.2024|morizon-7320/8653/OMS|1 834|0||||||265 cm||||||||
Idealne dla rodziny|594 024 zł||56,04 m²||3/4|4||||||Tak||Pierwotny||||Blok Mieszkalny||2024||Co Miejskie|09.12.2023|25.02.2024|morizon-ECN670832981|125|0|||2|||||||||||
Zarabiaj od dnia zakupu - Alter Investment S.A|597 000 zł||49,82 m²||3/3|3||||||||Wtórny|2023-08-23|||Kamienica|Cegła|1920||Gazowe|23.08.2023|02.04.2024|morizon-430751|765|0||||||||||||||
4 pokoje - kameralnie wśród zieleni|598 127 zł||57,79 m²||3/5|5||||||Tak||Pierwotny|||||||||19.03.2024|10.04.2024|morizon-418523|73|0||||||||||||||
Duże 2 Pokoje Z Oddzielną Kuchnią - Chełm|610 000 zł||50 m²||4/4|4||ODDZIELNA|1|||Tak||Wtórny||WŁASNOŚĆ||NISKI BLOK||1987||C.O. Z SIECI MIEJSKIEJ|17.01.2024|01.03.2024|morizon-1624/13290/OMS|110|0||||||||||||||
Słoneczne mieszkanie z ogrodem - PKM|620 000 zł||41,02 m²|||5|||||||Tak|Wtórny|||Na wyłączność|||2023|||01.03.2024|04.03.2024|morizon-HEX537130|128|0||||||||||||||
Kawalerka z Balkonem, Gdańsk Siedlce|624 579 zł||34,13 m²||1/2|2||||||Tak||Pierwotny||||Apartamentowiec||2024||Co Miejskie|13.02.2024|20.03.2024|morizon-101525|81|0|||1|||||||||||
Nowe Osiedle, Dostępne Również Inne Mieszkania|626 878 zł||44,08 m²||1/5|5||||||Tak||Pierwotny||||Blok Mieszkalny||2025||Co Miejskie|28.11.2023|29.02.2024|morizon-231015|118|0|||1|||||||||||
Mieszkanie czteropokojowe w kamienicy|1 080 000 zł|Bardzo dobry|80 m²||1/2|2|2|Aneks|2|4,50 m²|Tak|Nie|Tak|Wtórny|2024-03-27|Własność|Na wyłączność|Kamienica|Pustak||Bardzo dobry|Elektryczne|27.03.2024|03.04.2024|morizon-232|52|0||||9 m²||250 cm||||||||
2 POKOJOWE mieszkanie 40,28 m2 blisko STARÓWKI|633 422 zł||40,28 m²||1/4|4||||||||Pierwotny|2024-09-02||||||||01.03.2024|17.03.2024|morizon-ECN351671588|57|0||||||||||||||
Przestronne 4 pokojowe mieszkanie w Gdańsku|680 000 zł||78,43 m²||4/4|4||||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|1990||Co Miejskie|24.04.2023|27.03.2024|morizon-PAN106657|750|0||||||||||||||
3 pokojowe mieszkanie blisko Gdańskiej Starówki|750 000 zł||65 m²||2/3|3||Osobna|||Tak|Tak||Wtórny|2024-04-17|Własność||||1965|||19.03.2024|19.03.2024|morizon-gratka-33795939|96|0||||||||||||||
Nowe, wykończone w wysokim standardzie 3-pokojowe mieszkanie|750 000 zł|Bardzo dobry|64,31 m²||3/4|4|1|Aneks||||Tak|Nie|Wtórny|Od zaraz|Własność||Blok|Cegła|2019||Miejskie|21.02.2024|27.02.2024|morizon-1538320315|489|0||||||||||Tak||||
Nowe mieszkanie 3pokoje 60m2 Gdańsk Piecki-Migowo|769 355 zł||60,37 m²||1/4|4|1|||||Tak||Pierwotny||||Blok Mieszkalny||||Co Miejskie|20.03.2024|20.03.2024|morizon-DJ242551|33|0|||2|||||||||||
Mieszkanie 3pokojowe na Przymorzu|820 000 zł||59,80 m²|||8||||||Tak||Wtórny||||Blok Mieszkalny||1970|||04.03.2024|04.03.2024|morizon-AG434933|119|0|||2|||||||||||
OFERTA INWESTYCYJNA- Gdańsk Letnica|839 900 zł||45,40 m²||18/18|18|1|||||Tak||Pierwotny|2024-06-30|||Blok Mieszkalny||2023||Co Miejskie|24.02.2024|03.03.2024|morizon-DH670057|75|0|||1|||||||||||
Eleganckie mieszkanie na Morenowym Wzgórzu|893 000 zł|Podwyższony|60,60 m²||3/4|4||||||Tak||Wtórny||Własność|Na wyłączność|Blok mieszkalny|Cegła|2007||Ogrzewanie miejskie|03.02.2024|29.02.2024|morizon-HUZE180|132|0||||||260 cm||||||||
2 pokojowy apartament na gdańskim Przymorzu|899 000 zł||45,50 m²||8/17|17||||||Tak|Nie|Wtórny|||Na wyłączność|Apartamentowiec|YTong|2012||Co Miejskie|07.06.2023|27.03.2024|morizon-PAN638118|870|0||||||||||||||
Jasne, przestronne mieszkanie w dzielnicy Matarnia|950 000 zł||79,30 m²|||2||||||Tak|Tak|Wtórny|2024-04-30|||Blok Mieszkalny|Pustak|1998||Co Miejskie|02.04.2024|02.04.2024|morizon-487909|13|0||||||||||||||
Kawalerka z widokiem na rzekę- odbiór lipiec 2024|1 009 050 zł||28,83 m²||1/7|7||||||||Wtórny|||Na wyłączność|Apartamentowiec||2024||Co Miejskie|20.02.2024|06.03.2024|morizon-DH434412|107|0||||||||||||||
Mieszkanie 3 pokojowe na gdańskim Przymorzu|1 089 000 zł||59,41 m²||1/4|4||||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|2008||Co Miejskie|02.03.2023|27.03.2024|morizon-PAN824009|1 964|0||||||||||||||
MIESZKANIE PO GENERALNYM REMONCIE Z DWOMA BALKONAM|1 100 000 zł||62,90 m²||8/10|10||||||Tak|Nie|Wtórny||||Blok Mieszkalny|Wielka płyta|1970||Co Miejskie|17.01.2024|10.03.2024|morizon-PAN987177|231|0||||||||||||||
Granaria- kawalerka z loggią + widok na marinę|1 106 000 zł||31,60 m²||3/7|7||||||||Wtórny|||Na wyłączność|Apartamentowiec||2024||Co Miejskie|20.02.2024|06.03.2024|morizon-DH374543|104|0||||||||||||||
Granaria- lokal z bocznym widokiem na rzekę|1 122 161 zł||56,39 m²||6/7|7||||||||Wtórny|2024-07-30||Na wyłączność|Apartamentowiec||2024||Co Miejskie|20.02.2024|22.02.2024|morizon-DH211767|138|0||||||||||||||
Apartament na sprzedaż Gdańsk Oliwa 2 pokoje 47m2|1 152 725 zł||47,05 m²|||2||Półotwarta|1|||Tak|Nie|Pierwotny||Własność||||2023|Deweloperski|C.o. miejskie|15.03.2024|26.03.2024|morizon-OR016303|38|0||||||||8,41 m²||||||
3 POKOJE W CENTRUM WRZESZCZA|1 162 800 zł||68 m²||10/16|16||||||Tak|Nie|Wtórny||||Apartamentowiec|Konstrukcja mieszana|2009||Co Miejskie|13.09.2023|04.04.2024|morizon-PAN826777|928|0||||||||||||||
Przymorze - jasne mieszkanie 3 pokojowe|1 199 000 zł||68,07 m²||2/4|4||||||Tak|Nie|Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|2008||Co Miejskie|02.03.2023|27.03.2024|morizon-PAN724672|1 480|0||||||||||||||
Apartament 2-pokojowy, Stare Miasto|1 218 000 zł|Do wprowadzenia|58 m²|||||Aneks kuchenny|1||Tak|Tak||Wtórny||||Apartamentowiec||2016||C.O. Z SIECI MIEJSKIEJ|22.11.2023|08.04.2024|morizon-BHN-MS-4162|219|0|||1|||||||||||
Gdańsk Śródmieście ul. Lastadia kamienica|1 239 000 zł||123,90 m²|||3||||||||Wtórny|2023-04-19||Na wyłączność|Kamienica||1890||Gazowe|09.01.2024|12.02.2024|morizon-DH879337|219|0|||3|||||||||||
NOWE 2 POKOJE W OLIWIE|1 276 742 zł||47,40 m²||3/3|3||||||||Wtórny|||||||||19.03.2024|16.03.2024|morizon-HEX659550|57|0||||||||||||||
Unikalna Przestrzeń w Cudownym Miejscu|1 549 000 zł||94 m²||1/2|2|1|Osobna|1||Tak|Tak|Tak|Wtórny|2023-11-29|Własność||Kamienica|Cegła|1900|Bardzo dobry|Gazowe|06.11.2023|12.03.2024|morizon-2023/PJ20/|332|0||1 199 m²||||310 cm||||||||
Unikatowe mieszkanie w centrum Wrzeszcza|1 700 000 zł||176,32 m²||1/3|3|1|||||Tak|Nie|Wtórny|||Na wyłączność|Kamienica|Cegła|1907||Co Miejskie|26.08.2022|27.03.2024|morizon-PAN527298|2 438|0||||||||||||||
Wyjątkowy apartament Park Oliwski-Opacka|1 800 000 zł|Bardzo dobry|68,38 m²|||2||||||||Wtórny||||Nowe budownictwo||2019|||09.01.2024|09.01.2024|morizon-BHN-MS-3773-2|256|0||||||||||||||
Apartament na sprzedaż Gdańsk Oliwa 3 pokoje 83m2|1 992 000 zł||83 m²|||2||Półotwarta|1||Nie|Tak|Nie|Pierwotny||Własność||||2023|Deweloperski|C.o. miejskie|15.03.2024|26.03.2024|morizon-OR016300|46|0||||||||8,41 m²||||||
100 m do plaży, 4 pokoje, Neptun Park|3 200 000 zł||82 m²||2/3|3|1|||||Tak|Tak|Wtórny||||Apartamentowiec|Cegła|2010||Co Własne|09.10.2023|27.03.2024|morizon-WH339590|486|0|||3|||||||||||
Najlepszy widok w Gdańsku|3 400 000 zł||106 m²||10/12|12|1||||||Tak|Wtórny||||Apartamentowiec|Inne|2019||Co Miejskie|14.12.2023|21.03.2024|morizon-WH169402|400|0||||||||||||||
Mikro apartament w południowej części Gdańska|299 000 zł|WYSOKI STANDARD|16 m²||7/10|10|||1|||||Wtórny|2023-11-15|||WIEŻOWIEC||||C.O. Z SIECI MIEJSKIEJ|16.11.2023|04.04.2024|morizon-27816/3685/OMS|404|0||||||||||||||
Kup mieszkanie w niecodziennie NISKIEJ cenie|319 900 zł||27,60 m²||4/4|4||||||||Wtórny|||Na wyłączność|Blok Mieszkalny||1983||Co Miejskie|27.11.2023|10.04.2024|morizon-TY492978|827|0||||||||||||||
Najtańsze w Gdańsku Promocja tylko w tym Tygodniu|405 000 zł||37,17 m²||2/4|4||||||Tak||Pierwotny|2024-09-30|||Blok Mieszkalny||2024||Co Miejskie|08.02.2024|27.03.2024|morizon-HEX562535|135|0|||1|||||||||||
Ustawne z balkonem, 7 km od Śródmieścia Gdańska|430 000 zł|DO WYKOŃCZENIA|33,10 m²||2/4|4||||||||Pierwotny||WŁASNOŚĆ||NISKI BLOK||2025|||20.10.2023|02.04.2024|morizon-8321/8976/OMS|214|0||||||||||||||
Przytulne mieszkanie w świetnej lokalizacji|471 705 zł|Do wykończenia|38,35 m²||1/3|3|3|Aneks|1|4,11 m²|Tak|Tak||Pierwotny|2024-09-30|Własność||Blok|Zróżnicowany|2024|Rozpoczęta budowa|Miejskie|19.01.2024|25.03.2024|morizon-57|231|0||||||260 cm||4,50 m²||||||
Mieszkanie idealne pod każdym względem|510 000 zł||42,07 m²||3/3|3||||||Tak||Wtórny||||Blok Mieszkalny||2005||Co Miejskie|15.09.2023|06.04.2024|morizon-TY545641|431|0|||1|||||||||||
"4 pokoje lub 3 mikro kawalerki | Gotowe"|529 000 zł||53 m²||4/4|4||||||Tak||Wtórny||||Blok Mieszkalny|Porotherm|2024||Co Miejskie|08.02.2024|27.02.2024|morizon-HEX725846|250|0|||3|||||||||||
2-pokoje z ogródkiem, blisko tramwaju|549 000 zł||37,22 m²|||4||||||Nie|Nie|Wtórny||||Blok Mieszkalny|Pustak|2017||Co Miejskie|07.02.2024|21.03.2024|morizon-PAN172514|208|0||||||||||||||
Najtańszy apartament tuż przy Starym Mieście|379 343 zł|DO WYKOŃCZENIA|25,85 m²||3/4|4||||||||Pierwotny|2024-12-30|||APARTAMENTOWIEC|PUSTAK|2024||C.O. Z SIECI MIEJSKIEJ|27.03.2024|27.03.2024|morizon-418/8114/OMS|132|0||||||||||||||
Kawalerka (30 m2) w samym Centrum Gdańska|595 000 zł||29,67 m²||3/6|6||||||||Wtórny||||Apartamentowiec||||Co Miejskie|11.02.2023|10.04.2024|morizon-497862|664|0|||1|||||||||||
"2 pokoje z ogródkiem | Przy samym lesie"|599 000 zł||43,85 m²|||3||||||Nie|Tak|Wtórny||||Blok Mieszkalny|Pustak|2020||Co Miejskie|19.01.2024|16.03.2024|morizon-PAN355281|266|0||||||||||||||
2 pokoje w świetnej lokalizacji|629 000 zł||51 m²|||4||||||Tak||Wtórny|||Na wyłączność|||1970|||12.02.2024|27.03.2024|morizon-EC111111400189|259|0||||||||||||||
OFERTA INWESTYCYJNA- Gdańsk Letnica|638 400 zł||31,92 m²||18/18|18|1|||||Tak||Pierwotny|2023-10-01|||Blok Mieszkalny||2023||Co Miejskie|24.02.2024|24.02.2024|morizon-DH207905|72|0|||1|||||||||||
3 pokoje z ogrodem i halą garażową|639 000 zł||64 m²|||4||||||Nie||Wtórny||||Blok Mieszkalny||2009|||29.09.2023|27.03.2024|morizon-518406|565|0||||||||||||||
Mieszkanie trzypokojowe/ podwyższony standard/nowe|646 000 zł|Wysoki standard|55 m²||1/5|5||||||Tak||Wtórny||||Budynek wielorodzinny||2021|||28.11.2023|06.02.2024|morizon-BHN-MS-3897-2|389|0|||2||||||450|||||
Słoneczny narożny układ, duży balkon, dwie łazienk|664 495 zł||73,36 m²||3/4|4||||||Tak||Pierwotny||||Blok Mieszkalny|Cegła|2024||Co Miejskie|11.03.2024|11.03.2024|morizon-HEX336646|56|0||||||||||||||
3 pokoje z ogrodem w spokojnej okolicy|675 000 zł||66,50 m²||2/2|2|2|||||Nie|Nie|Wtórny|||Na wyłączność|Kamienica|Cegła|1925||Gazowe|27.12.2023|27.03.2024|morizon-PAN912943|449|0||||||||||||||
Atrakcyjne mieszkanie 50,50m2, 2pok. V p, Gd-Chełm|709 999 zł||50,50 m²||5/7|7|1|||||Tak||Wtórny||||Blok Mieszkalny|Wielka płyta|||Co Miejskie|05.03.2024|07.03.2024|morizon-DJ749377|80|0||||||||||||||
2 pokoje, gotowę do wprowadzenia|715 000 zł||45 m²||1/3|3||||||Nie|Nie|Wtórny||||Kamienica|Cegła|1920||Gazowe|08.01.2024|22.03.2024|morizon-PAN995019|157|0|||1|||||||||||
Dwa pokoje na sprzedaż Morena osiedle Alfa Park II|729 000 zł||50,37 m²||1/4|4||||||||Wtórny|2023-12-04||Na wyłączność|Blok Mieszkalny|YTong|2014||Co Miejskie|05.12.2023|07.03.2024|morizon-DH444273|468|0|||1|||||||||||
Gdańsk Jasień 3 pokoje z ogródkiem 60,3m2|729 000 zł||63,80 m²|||4||||||||Wtórny|||Na wyłączność|Blok Mieszkalny||2013|||13.09.2023|12.03.2024|morizon-DH288125|386|0|||2|||||||||||
Mieszkanie w atrakcyjnej lokalizacji|739 000 zł||63,60 m²||1/4|4||||||||Wtórny||||||2010|||23.01.2024|26.03.2024|morizon-342378|159|0|||2|||||||||||
Narożne Rodzinne Mieszkanie, Nowa Inwestycja|741 598 zł||68,35 m²||3/5|5||||||Tak||Pierwotny||||Blok Mieszkalny||2023||Co Miejskie|22.05.2023|21.03.2024|morizon-600505769|137|0|||3|||||||||||
Atrakcyjne mieszkanie przy Ogarnej|795 000 zł||45,70 m²|||3||||||||Wtórny||||Kamienica||1950||Co Miejskie|21.12.2023|27.03.2024|morizon-DH813631|240|0|||1|||||||||||
Mieszkanie 131 m2 we Wrzeszczu|799 000 zł||131,30 m²|||4||||||Nie|Tak|Wtórny||||Blok Mieszkalny|Cegła|1965||Co Miejskie|05.02.2024|20.02.2024|morizon-PAN553034|463|0||||||||||||||
4 pokoje do własnej aranżacji, idealna inwestycja|799 000 zł||101 m²||2/3|3||||||||Wtórny|2024-02-02|||Kamienica|Cegła|1900||Co Własne|02.02.2024|02.02.2024|morizon-976294|151|0|||4|||||||||||
USTAWNA KAWALERKA Z OGRÓDKIEM|815 318 zł||36,27 m²|||3||||||||Wtórny|||||||||19.03.2024|16.03.2024|morizon-HEX471709|48|0||||||||||||||
Mieszkanie inwestycyjne 1-3 pok.; z m. parkingowym|849 000 zł||37,78 m²||3/4|4||||||Nie|Nie|Wtórny|||Na wyłączność|Kamienica|Cegła|1957||Co Miejskie|01.12.2023|25.03.2024|morizon-PAN237655|899|0||||||||||||||
"Apartament 2-pokoje | Gotowy do odbioru"|853 770 zł||44,70 m²|44,10 m²|2/2|2||||||||Pierwotny|||||||||31.01.2024|31.03.2024|morizon-611021|71|0||||||||||||||
Stylowe mieszkanie blisko plaży w Jelitkowie|860 000 zł||40,88 m²|39,09 m²|4/17|17||||||Tak|Nie|Wtórny|||Na wyłączność|Apartamentowiec|Pustak|2018||Co Miejskie|17.01.2024|01.03.2024|morizon-PAN589825|520|0||||||||||||||
Przestronne, czteropokojowe mieszkanie w Gdańsku|879 000 zł||88,61 m²||1/5|5||||||Tak||Wtórny|2024-01-01||Na wyłączność|Blok Mieszkalny|YTong|2023||Co Własne|20.12.2023|09.03.2024|morizon-TC772735|483|0|||3|||||||||||
Wyremontowane 3 pokojowe mieszkanie w Centrum|879 000 zł||69,50 m²|||3||||||||Wtórny|||Na wyłączność|Kamienica||1900||Co Miejskie|24.03.2023|06.02.2024|morizon-TY729373|471|0||||||||||||||
